date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
6/3/20 11:18,realDonaldTrump,,5965,22883,141370,Congratulations to Randy Feenstra on your big win in the Iowa Republican Primary. You will be a great Congressman!,,,,1.26814E+18,https://twitter.com/realDonaldTrump/status/1268139884700721153
6/3/20 11:04,realDonaldTrump,henryrodgersdc,9289,15550,62047,The knew it was Fake and went with it anyway. Lamestream Media is CORRUPT!,,,,1.26814E+18,https://twitter.com/realDonaldTrump/status/1268136470415540224
6/3/20 10:54,realDonaldTrump,BuckSexton,6999,15285,56429,The National Guard is ready!,,,,1.26813E+18,https://twitter.com/realDonaldTrump/status/1268134050130165760
6/3/20 10:47,realDonaldTrump,BuckSexton,9484,14586,63268,Get tough police!,,,,1.26813E+18,https://twitter.com/realDonaldTrump/status/1268132269245464577
6/3/20 10:46,realDonaldTrump,,4046,15792,56540,"Undercover Huber is a great spoof, funny, but at the same time sad, because the real @JohnWHuber did absolutely NOTHING. He was a garbage disposal unit for important documents &amp; then, tap, tap, tap, just drag it along &amp; run out of time. A.G. Jeff Sessions was played like a drum!",,@JohnWHuber,,1.26813E+18,https://twitter.com/realDonaldTrump/status/1268132011203575811
6/3/20 10:30,realDonaldTrump,ChuckRossDC,10028,12902,50424,Fredo’s ratings are down more than 50%. People are tired of his act. @CNN IS DYING!,,@CNN,,1.26813E+18,https://twitter.com/realDonaldTrump/status/1268127974659952642
6/3/20 10:17,realDonaldTrump,SenTedCruz,4249,22875,77527,So true!,,,,1.26812E+18,https://twitter.com/realDonaldTrump/status/1268124756362121217
6/3/20 10:16,realDonaldTrump,SenTedCruz,4919,17249,56581,"Thank you Ted. They got caught cold, but this should never be allowed to happen to an incoming administration again - Spied on. Makes Watergate look like small potatoes! OBAMAGATE!",,,,1.26812E+18,https://twitter.com/realDonaldTrump/status/1268124420377317383
6/3/20 9:52,realDonaldTrump,bretthavekost,5316,14023,64935,"I agree, unlike other states that are poorly run & managed, Texas is in great shape...and the Southern Border Wall, which is going up FAST, puts it in even better position!",,,,1.26812E+18,https://twitter.com/realDonaldTrump/status/1268118444001681408
6/3/20 4:29,realDonaldTrump,,41870,52571,236393,"So pathetic to watch the Fake News Lamestream Media playing down the gravity and depravity of the Radical Left, looters and thugs, ripping up our Liberal Democrat run (only) cities. It is almost like they are all working together?",,,,1.26804E+18,https://twitter.com/realDonaldTrump/status/1268037166946553856
6/3/20 4:15,realDonaldTrump,,6281,16541,85394,"Burgess Owens, Utah. “We weren’t to sure in 2016, but we voted for the right person to take us through this process.” @IngrahamAngle @FoxNews Thank you Burgess. Working hard!",,@IngrahamAngle @FoxNews,,1.26803E+18,https://twitter.com/realDonaldTrump/status/1268033455360786436
6/3/20 3:58,realDonaldTrump,,12995,22940,91536,"New York’s Finest are not being allowed to perform their MAGIC but regardless, and with the momentum that the Radical Left and others have been allowed to build, they will need additional help. NYC is totally out of control. @NYCMayor &amp; @NYGovCuomo MUST PUT DOWN RIOTING NOW!",,@NYCMayor @NYGovCuomo,,1.26803E+18,https://twitter.com/realDonaldTrump/status/1268029249237274624
6/3/20 2:57,realDonaldTrump,,25069,33338,154671,"“Chaos, lawlessness, and destruction take over New York.” @FoxNews When will Governor Cuomo call the Federal Government for help?",,@FoxNews,,1.26801E+18,https://twitter.com/realDonaldTrump/status/1268013914178142209
6/3/20 2:41,realDonaldTrump,,27203,29581,94725,Media Falsely Claimed Violent Riots Were Peaceful And That Tear Gas Was Used Against Rioters https://thefederalist.com/2020/06/02/media-falsely-claimed-violent-riots-were-peaceful-and-that-tear-gas-was-used-against-rioters/#.XtcNEnwYfhc.twitter Fake News is hurting our Country so badly. Don’t burn down churches. This article is a must read!,,,,1.26801E+18,https://twitter.com/realDonaldTrump/status/1268009894885634054
6/3/20 2:28,realDonaldTrump,realDonaldTrump,30003,23538,88960,"You got it wrong! If the protesters were so peaceful, why did they light the Church on fire the night before? People liked my walk to this historic place of worship! Sen. Susan Collins, Sen. James Lankford, Sen. Ben Sasse. Please read @MZHemingway below.",,@MZHemingway,,1.26801E+18,https://twitter.com/realDonaldTrump/status/1268006529678049281
6/3/20 1:30,realDonaldTrump,,23927,113040,430810,"Our highest respect to the family of David Dorn, a Great Police Captain from St. Louis, who was viciously shot and killed by despicable looters last night. We honor our police officers, perhaps more than ever before. Thank you!",,,,1.26799E+18,https://twitter.com/realDonaldTrump/status/1267992040010285057
6/3/20 1:06,realDonaldTrump,,18130,14748,65263,"...millions of dollars, and jobs, for the State. Because of @NC_Governor, we are now forced to seek another State to host the 2020 Republican National Convention.",,@NC_Governor,,1.26799E+18,https://twitter.com/realDonaldTrump/status/1267985991408799745
6/3/20 1:06,realDonaldTrump,,3021,11655,53860,"...then tell them they will not be able to gain entry. Governor Cooper is still in Shelter-In-Place Mode, and not allowing us to occupy the arena as originally anticipated and promised. Would have showcased beautiful North Carolina to the World, and brought in hundreds of...",,,,1.26799E+18,https://twitter.com/realDonaldTrump/status/1267985990465064962
6/3/20 1:06,realDonaldTrump,,13730,18933,82009,"Had long planned to have the Republican National Convention in Charlotte, North Carolina, a place I love. Now, @NC_Governor Roy Cooper and his representatives refuse to guarantee that we can have use of the Spectrum Arena - Spend millions of dollars, have everybody arrive, and...",,@NC_Governor,,1.26799E+18,https://twitter.com/realDonaldTrump/status/1267985989471002626
6/3/20 0:16,realDonaldTrump,,33396,32880,108840,“Media Falsely Claimed Violent Riots Were Peaceful And That Tear Gas Was Used Against Rioters” https://thefederalist.com/2020/06/02/media-falsely-claimed-violent-riots-were-peaceful-and-that-tear-gas-was-used-against-rioters/,,,,1.26797E+18,https://twitter.com/realDonaldTrump/status/1267973369351360517
6/2/20 23:22,realDonaldTrump,,70799,40577,304748,"Washington, D.C., was the safest place on earth last night!",,,,1.26796E+18,https://twitter.com/realDonaldTrump/status/1267959729361485825
